#Wavelength Flux FluxErr FluxGeo
 .30656  8.5042  0.0670  8.2612
 .30663  8.4816  0.0666  8.3205
 .30670  8.4757  0.0667  8.3469
 .30678  8.5102  0.0667  8.3292
 .30685  8.5611  0.0669  8.3217
 .30692  8.5768  0.0671  8.2870
 .30699  8.5738  0.0671  8.3300
 .30706  8.5385  0.0671  8.2657
 .30713  8.5007  0.0667  8.2748
 .30720  8.5232  0.0666  8.3344
 .30728  8.4328  0.0664  8.1927
 .30735  8.4139  0.0665  8.1806
 .30742  8.4931  0.0667  8.3151
 .30749  8.5321  0.0665  8.4367
 .30756  8.4821  0.0662  8.3165
 .30763  8.3737  0.0656  8.1240
 .30770  8.4071  0.0656  8.1982
 .30778  8.4245  0.0656  8.2252
 .30785  8.3740  0.0656  8.1957
 .30792  8.5012  0.0660  8.3191
 .30799  8.6406  0.0664  8.4174
 .30806  8.4880  0.0659  8.2372
 .30813  8.4413  0.0655  8.2653
 .30821  8.4346  0.0654  8.2787
 .30828  8.3872  0.0651  8.2085
 .30835  8.3775  0.0651  8.1890
 .30842  8.3700  0.0650  8.1066
 .30849  8.4135  0.0650  8.1889
 .30856  8.4269  0.0650  8.2286
 .30864  8.4095  0.0648  8.2102
 .30871  8.4246  0.0650  8.2027
 .30878  8.4624  0.0652  8.2717
 .30885  8.4354  0.0652  8.1626
 .30892  8.4305  0.0653  8.1336
 .30899  8.4763  0.0654  8.1920
 .30907  8.5068  0.0653  8.2390
 .30914  8.4431  0.0650  8.2267
 .30921  8.3615  0.0647  8.1177
 .30928  8.4161  0.0650  8.1575
 .30936  8.5037  0.0653  8.2766
 .30943  8.4309  0.0652  8.1423
 .30950  8.4089  0.0649  8.1272
 .30957  8.4132  0.0648  8.1966
 .30964  8.3865  0.0648  8.1664
 .30971  8.4456  0.0650  8.2364
 .30979  8.5036  0.0652  8.2932
 .30986  8.4743  0.0651  8.2742
 .30993  8.5140  0.0652  8.3336
 .31000  8.5429  0.0654  8.3496
 .31008  8.5159  0.0656  8.3496
 .31015  8.4915  0.0656  8.3365
 .31022  8.5660  0.0655  8.4314
 .31029  8.5298  0.0654  8.3717
 .31036  8.6323  0.0655  8.5255
 .31044  8.6290  0.0671  8.5438
 .31051  8.5598  0.0678  8.4128
 .31058  8.5986  0.0662  8.4094
 .31065  8.5582  0.0652  8.3303
 .31072  8.5965  0.0658  8.4064
 .31080  8.6499  0.0662  8.5220
 .31087  8.5400  0.0657  8.4073
 .31094  8.5428  0.0657  8.3776
 .31101  8.6349  0.0653  8.4499
 .31109  8.5871  0.0650  8.4409
 .31116  8.5709  0.0649  8.4066
 .31123  8.6205  0.0652  8.5304
 .31130  8.5848  0.0652  8.5052
 .31138  8.6580  0.0653  8.5938
 .31145  8.7357  0.0656  8.5983
 .31152  8.6414  0.0654  8.4423
 .31159  8.7188  0.0654  8.5973
 .31167  8.7293  0.0653  8.6835
 .31174  8.6829  0.0657  8.6220
 .31181  8.7825  0.0659  8.7536
 .31188  8.8088  0.0661  8.7422
 .31196  8.8086  0.0662  8.6952
 .31203  8.8233  0.0657  8.9308
 .31210  8.8270  0.0656  8.9538
 .31217  8.8386  0.0665  9.0222
 .31225  8.7495  0.0663  8.9166
 .31232  8.7411  0.0657  8.8714
 .31239  8.8519  0.0656  8.9914
 .31246  8.8508  0.0657  8.9514
 .31254  8.8840  0.0660  8.9619
 .31261  8.8495  0.0658  8.8915
 .31268  8.8854  0.0660  8.3242
 .31276  8.9633  0.0659  8.8305
 .31283  8.9242  0.0657  8.7910
 .31290  8.6982  0.0632  8.8489
 .31297  8.9982  0.0658  8.9362
 .31305  8.9326  0.0656  8.9661
 .31312  8.9679  0.0660  9.0323
 .31319  9.0096  0.0666  8.9913
 .31326  8.9513  0.0663  8.2156
 .31334  8.9340  0.0653  8.5303
 .31341  8.9026  0.0652  8.5082
 .31348  8.8539  0.0650  8.4319
 .31356  8.8873  0.0649  8.4237
 .31363  8.8916  0.0648  8.4211
 .31370  8.7478  0.0642  8.3145
 .31378  8.7086  0.0640  8.3059
 .31385  8.7906  0.0642  8.3902
 .31392  8.7205  0.0638  8.3495
 .31399  8.5787  0.0632  8.2025
 .31407  8.6330  0.0633  7.7270
 .31414  8.6251  0.0629  8.3442
 .31421  8.6554  0.0634  8.3615
 .31429  8.6936  0.0635  8.3970
 .31436  8.6340  0.0634  8.3504
 .31443  8.5922  0.0630  8.2961
 .31451  8.6235  0.0632  8.3661
 .31458  9.1898  0.0521  8.3311
 .31465  8.6107  0.0623  8.3950
 .31472  8.6403  0.0621  8.4124
 .31480  8.6168  0.0623  8.3991
 .31487  8.2462  0.0605  8.3483
 .31494  8.5008  0.0619  8.4864
 .31502  8.5598  0.0617  8.5267
 .31509  8.5295  0.0613  8.4629
 .31516  8.5576  0.0615  8.4927
 .31524  8.5846  0.0609  8.5054
 .31531  8.5427  0.0608  8.4522
 .31539  8.5559  0.0606  8.4366
 .31546  8.4976  0.0604  8.4232
 .31553  8.4965  0.0603  8.4410
 .31561  8.5340  0.0605  8.4513
 .31568  8.5085  0.0604  8.4213
 .31575  9.4059  0.0518  8.4182
 .31582  8.5010  0.0597  8.4607
 .31590  8.4297  0.0595  8.3045
 .31597  8.4045  0.0593  8.2813
 .31605  8.4336  0.0593  8.3124
 .31612  8.4780  0.0596  8.3367
 .31619  8.4540  0.0596  8.3095
 .31627  8.4653  0.0597  8.4320
 .31634  8.4794  0.0600  8.4133
 .31641  8.5151  0.0603  8.3426
 .31649  8.6025  0.0602  8.5659
 .31656  8.5341  0.0600  8.4069
 .31663  8.4837  0.0597  8.4089
 .31671  8.5101  0.0598  8.4542
 .31678  8.5798  0.0598  8.5645
 .31686  8.5018  0.0598  8.5028
 .31693  8.5085  0.0597  8.4882
 .31700  8.5357  0.0603  8.4923
 .31708  8.5029  0.0604  8.4896
 .31715  8.5075  0.0604  8.5204
 .31722  8.5227  0.0604  8.5142
 .31730  8.5793  0.0605  8.5519
 .31737  8.5795  0.0595  8.5887
 .31745  8.5076  0.0591  8.5095
 .31752  8.5511  0.0590  8.5482
 .31759  8.4991  0.0590  8.5196
 .31767  8.5176  0.0593  8.6134
 .31774  8.5720  0.0602  8.6480
 .31781  8.5521  0.0609  8.4656
 .31789  8.5390  0.0608  8.5100
 .31796  8.5906  0.0602  8.6330
 .31804  8.5095  0.0593  8.5082
 .31811  8.5118  0.0591  8.5048
 .31819  8.6068  0.0594  8.6582
 .31826  8.5855  0.0593  8.6362
 .31833  8.5847  0.0592  8.6231
 .31841  8.6081  0.0596  8.6566
 .31848  8.6256  0.0597  8.6558
 .31856  8.6483  0.0599  8.6614
 .31863  8.6973  0.0599  8.7036
 .31870  8.7399  0.0595  8.7537
 .31878  8.7150  0.0593  8.7459
 .31885  8.7431  0.0591  8.8447
 .31893  8.6964  0.0591  8.7527
 .31900  8.6630  0.0589  8.7315
 .31907  8.7059  0.0590  8.8187
 .31915  8.6584  0.0597  8.6818
 .31922  8.7118  0.0595  8.7531
 .31930  8.7038  0.0598  8.7326
 .31937  8.7128  0.0597  8.7080
 .31944  8.6394  0.0594  8.6738
 .31952  8.6417  0.0592  8.6863
 .31959  8.6395  0.0593  8.6448
 .31967  8.5692  0.0590  8.6437
 .31974  8.5550  0.0582  8.6769
 .31982  8.6632  0.0585  8.7101
 .31989  8.5902  0.0584  8.5908
 .31997  8.5165  0.0583  8.5529
 .32004  8.5339  0.0584  8.5544
 .32011  8.5884  0.0584  8.5775
 .32019  8.5791  0.0583  8.6142
 .32026  8.6284  0.0584  8.7646
 .32034  8.6624  0.0584  8.7229
 .32041  8.5804  0.0582  8.6338
 .32049  8.5739  0.0580  8.5958
 .32056  8.5277  0.0577  8.5072
 .32064  8.4958  0.0575  8.5001
 .32071  8.4140  0.0574  8.4512
 .32079  8.4428  0.0573  8.5226
 .32086  8.4037  0.0569  8.4558
 .32094  8.3415  0.0567  8.4501
 .32101  8.3931  0.0569  8.5120
 .32108  8.4844  0.0575  8.5952
 .32116  8.4897  0.0575  8.5789
 .32123  8.4774  0.0574  8.5427
 .32131  8.5156  0.0573  8.6398
 .32138  8.4802  0.0571  8.5622
 .32146  8.4667  0.0571  8.5349
 .32153  8.4268  0.0569  8.5089
 .32161  8.4167  0.0567  8.2548
 .32168  8.3776  0.0565  8.4778
 .32176  8.4021  0.0565  8.4832
 .32183  8.4424  0.0565  8.5344
 .32191  8.3376  0.0562  8.4283
 .32198  8.3753  0.0563  8.4393
 .32206  8.3821  0.0563  8.4453
 .32213  8.3371  0.0560  7.8502
 .32221  8.1897  0.0546  8.2673
 .32228  8.1255  0.0544  8.1326
 .32236  8.1850  0.0545  8.2078
 .32243  8.1905  0.0545  8.2354
 .32251  8.2000  0.0545  8.2417
 .32258  8.3319  0.0502  8.2869
 .32266  8.1833  0.0527  8.2219
 .32273  8.1460  0.0527  8.1793
 .32281  8.1329  0.0528  8.1474
 .32288  8.0674  0.0527  8.0445
 .32296  8.1735  0.0526  8.1714
 .32303  8.2818  0.0525  8.3058
 .32311  8.1719  0.0523  8.1653
 .32318  8.1277  0.0523  8.1173
 .32326  8.1480  0.0524  8.1305
 .32333  8.2032  0.0525  8.1935
 .32341  8.1789  0.0523  8.2099
 .32348  8.1786  0.0523  7.6353
 .32356  8.0615  0.0512  7.7984
 .32363  8.0374  0.0509  8.0171
 .32371  8.0896  0.0515  8.0892
 .32378  8.0981  0.0516  8.0687
 .32386  8.0533  0.0511  8.0217
 .32394  8.0252  0.0507  8.0017
 .32401  8.0102  0.0504  7.9824
 .32409  7.9551  0.0505  7.9176
 .32416  7.9967  0.0505  7.9884
 .32424  8.0167  0.0505  8.0379
 .32431  7.9817  0.0507  8.0100
 .32439  7.9620  0.0507  8.0006
 .32446  7.8956  0.0502  7.9161
